season,player_name,player_team,player_age,player_height_raw,Weight,player_college,player_country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
2025,Lexie Hull,IND,26,6-1,155,Stanford,USA,44,7.2,4.3,1.8,6.4,5.30%,11.30%,12.90%,50.30%,9.60%
2025,Li Yueru,DAL,27,6-7,-,None,China,31,6,4.5,0.9,-2.9,9.40%,17.70%,16.70%,53.40%,8.90%
2025,Liatu King,DAL,24,6-0,-,Notre Dame,,14,2.7,2.1,0.3,-5.7,10.60%,12.50%,13.30%,56.50%,4.80%
2025,Lindsay Allen,CON,31,5-8,145,Notre Dame,USA,31,2.4,1,2,-14.8,1.90%,5.20%,10.50%,49.30%,21.90%
2025,Lucy Olsen,WAS,22,5-10,-,Iowa,,41,4,1.2,1.2,-13,2.20%,8.00%,15.70%,49.60%,17.00%
2025,Luisa Geiselsoder,DAL,26,6-4,-,None,Germany,28,6.9,4.8,1.6,-9.5,3.60%,18.20%,14.40%,52.20%,11.50%
2025,Mackenzie Holmes,SEA,25,6-3,-,Indiana,USA,10,1,0.9,0.2,-25.4,5.90%,12.80%,5.60%,71.40%,6.50%
2025,Maddy Siegrist,DAL,25,6-2,175,Villanova,USA,26,12.7,4.3,0.8,-6.7,6.70%,8.60%,18.40%,56.00%,5.10%
2025,Maddy Westbeld,CHI,24,6-3,-,Notre Dame,,26,4.1,2.4,0.9,-16.7,6.10%,13.30%,16.50%,47.80%,12.20%
2025,Madison Scott,WAS,24,6-2,-,Mississippi,USA,9,1.6,0.1,0.2,-4,2.40%,0.00%,12.60%,54.90%,6.30%
2025,Makayla Timpson,IND,23,6-2,173,Florida State,,31,2.6,1.8,0,2.5,8.20%,19.80%,15.50%,59.50%,0.80%
2025,Mamignan Toure,CON,31,6-0,-,None,France,18,2,0.4,0.5,-8.2,2.50%,2.20%,13.50%,46.20%,10.00%
2025,Maria Kliundikova,MIN,27,6-4,190,None,Russia,34,4.4,3,0.6,9.1,12.10%,14.90%,18.30%,53.90%,8.10%
