season,player_name,team,season_type,stat,stat_with_player_on,stat_with_player_off,difference_with_playeron_vs_playeroff
2024,Natasha Cloud,PHX,regular season,2pt FG% - Defense,0.479,0.508,-0.03
2024,Natasha Cloud,PHX,regular season,eFG% - Defense,0.493,0.5,-0.01
2024,Natasha Cloud,PHX,regular season,3PAr - Defense,0.376,0.393,-0.02
2024,Natasha Cloud,PHX,regular season,At Rim Shot Frequency - Defense,0.244,0.26,-0.02
2024,Natasha Cloud,PHX,regular season,At Rim FG% - Defense,0.658,0.687,-0.03
2024,Natasha Cloud,PHX,regular season,Short Mid Range Shot Frequency - Defense,0.236,0.217,0.02
2024,Natasha Cloud,PHX,regular season,Short Mid Range FG% - Defense,0.377,0.375,0
2024,Natasha Cloud,PHX,regular season,Long Mid Range Shot Frequency - Defense,0.144,0.129,0.01
2024,Natasha Cloud,PHX,regular season,Long Mid Range FG% - Defense,0.343,0.37,-0.03
2024,Natasha Cloud,PHX,regular season,Corner 3 Shot Frequency - Defense,0.081,0.078,0
2024,Natasha Cloud,PHX,regular season,Corner 3 FG% - Defense,0.358,0.265,0.09
2024,Natasha Cloud,PHX,regular season,Arc 3 Shot Frequency - Defense,0.295,0.315,-0.02
2024,Natasha Cloud,PHX,regular season,Arc 3 FG% - Defense,0.34,0.34,0
2024,Natasha Cloud,PHX,regular season,Pace,94.785,93.051,1.73
2024,Natasha Cloud,PHX,regular season,Second Chance Efficiency,118.376,116,2.38
2024,Natasha Cloud,PHX,regular season,Penalty Efficiency,112.381,95.968,16.41
2024,Natasha Cloud,PHX,regular season,Second Chance Possessions Per 100 Possessions,9.614,11.45,-1.84
2024,Natasha Cloud,PHX,regular season,First Chance Points Per 100 Possessions,90.592,90.076,0.52
2024,Natasha Cloud,PHX,regular season,Second Chance Points Per 100 Possessions,11.38,13.282,-1.9
2023,Natasha Cloud,WAS,regular season,2pt FGM Assist%,0.58,0.505,0.08
2023,Natasha Cloud,WAS,regular season,Non Putback 2pt FGM Assist%,0.621,0.556,0.07
2023,Natasha Cloud,WAS,regular season,3pt FGM Assist%,0.943,0.951,-0.01
2023,Natasha Cloud,WAS,regular season,3pt FG%,0.333,0.345,-0.01
2023,Natasha Cloud,WAS,regular season,Non-Heave 3pt FG%,0.336,0.346,-0.01
2023,Natasha Cloud,WAS,regular season,2pt FG%,0.472,0.489,-0.02
2023,Natasha Cloud,WAS,regular season,eFG%,0.481,0.499,-0.02
2023,Natasha Cloud,WAS,regular season,TS%,0.53,0.542,-0.01
2023,Natasha Cloud,WAS,regular season,3PAr,0.336,0.359,-0.02
2023,Natasha Cloud,WAS,regular season,% of FG3A Blocked,0.009,0.008,0
2023,Natasha Cloud,WAS,regular season,% of FG2A Blocked,0.054,0.085,-0.03
2023,Natasha Cloud,WAS,regular season,Live Ball TO%,0.54,0.435,0.11
2023,Natasha Cloud,WAS,regular season,DReb% - Missed FTs,0.914,0.81,0.1
2023,Natasha Cloud,WAS,regular season,OReb% - Missed FTs,0.082,0.105,-0.02
2023,Natasha Cloud,WAS,regular season,DReb% - Missed 2s,0.7,0.724,-0.02
2023,Natasha Cloud,WAS,regular season,OReb% - Missed 2s,0.234,0.303,-0.07
2023,Natasha Cloud,WAS,regular season,DReb% - Missed 3s,0.768,0.735,0.03
2023,Natasha Cloud,WAS,regular season,OReb% - Missed 3s,0.178,0.197,-0.02
2023,Natasha Cloud,WAS,regular season,DReb% - Missed FGs,0.727,0.729,0
