team,team_slug,row_type,player,season_year,salary_cap_hit,pct_of_cap,pct_of_team,status,core_years,raw_value,source,source_url
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Laila Phelia,2026,270000,3.9,4.5,,,"$270,000  3.9%  4.5%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Laila Phelia,2027,,,,Reserved,,Reserved,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Sacha Washington,2026,270000,3.9,4.5,,,"$270,000  3.9%  4.5%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Sacha Washington,2027,,,,Reserved,,Reserved,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Lorela Cubaj,2026,,,,Reserved,,Reserved,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,unsigned_draftee,Kejia Ran,2026,270000,3.9,4.5,,,"$270,000  3.9%  4.5%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,unsigned_draftee,Kejia Ran,2027,288600,,4.3,,,"$288,600  $???,???  4.3%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,unsigned_draftee,Kejia Ran,2028,317460,,5.3,,,"$317,460  $???,???  5.3%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,unsigned_draftee,Kejia Ran,2029,358730,,32.9,,,"$358,730  $???,???  32.9%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,unsigned_draftee,Kejia Ran,2030,,,,RFA,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
