player_id,player_name,player_name_key,season,player_team,position_full,position,jersey_number,player_age,age_2026,player_height_raw,height_inches,weight_lbs,player_college,player_country,gp_2025,pts_2025,reb_2025,ast_2025,net_rtg_2025,oreb_pct,dreb_pct,usage_pct_bio,ts_pct_bio,ast_pct_bio
1629498,Jackie Young,jackieyoung,2025,LVA,Guard,G,0,28.0,29.0,6-0,72.0,165.0,Notre Dame,USA,44.0,16.5,4.5,5.1,9.1,0.04,0.105,0.231,0.596,0.294
1642292,Jacy Sheldon,jacysheldon,2025,WAS,Guard,G,4,25.0,26.0,5-10,70.0,140.0,Ohio State,USA,30.0,7.5,1.9,1.9,-18.5,0.031,0.054,0.136,0.593,0.142
1631141,Jade Melbourne,jademelbourne,2025,WAS,Guard,G,5,23.0,24.0,5-10,70.0,145.0,,Australia,43.0,5.9,1.9,2.9,-10.0,0.017,0.064,0.142,0.496,0.209
1642240,Jaelyn Brown,jaelynbrown,2025,CON,,,,27.0,28.0,6-1,73.0,170.0,California,USA,10.0,3.7,1.2,0.1,-22.2,0.0289999999999999,0.063,0.141,0.488,0.013
1642767,Janelle Salaun,janellesalaun,2025,GSV,Forward,F,13,24.0,25.0,6-2,74.0,,,France,36.0,11.3,5.1,1.2,-0.5,0.033,0.154,0.205,0.523,0.087
1642320,Jaylyn Sherrod,jaylynsherrod,2025,MIN,Guard,G,0,24.0,25.0,5-7,67.0,160.0,Colorado,USA,26.0,1.2,0.6,0.5,-9.3,0.015,0.093,0.136,0.445,0.145
1629491,Jessica Shepard,jessicashepard,2025,MIN,Forward,F,15,29.0,30.0,6-4,76.0,175.0,Notre Dame,USA,40.0,8.0,7.3,2.6,9.8,0.114,0.236,0.16,0.634,0.201
204319,Jewell Loyd,jewellloyd,2025,LVA,Guard,G,24,32.0,33.0,5-11,71.0,175.0,Notre Dame,USA,44.0,11.2,3.2,1.8,5.0,0.04,0.074,0.179,0.536,0.105
1627673,Jonquel Jones,jonqueljones,2025,NYL,Center,C,35,32.0,33.0,6-6,78.0,215.0,George Washington,Bahamas,31.0,13.6,8.1,2.7,8.1,0.059,0.233,0.223,0.611,0.178
1628886,Jordin Canada,jordincanada,2025,ATL,Guard,G,3,30.0,31.0,5-6,66.0,135.0,UCLA,USA,28.0,11.2,3.3,5.7,12.5,0.01,0.103,0.208,0.498,0.322
,Joyner Holmes,joynerholmes,2025,LVA,Forward,F,TBD,28.0,29.0,6-3,75.0,210.0,University of Texas at Austin,USA,6.0,1.2,1.0,0.0,-3.6,0.074,0.148,0.233,0.292,0.0
1627700,Julie Allemand,julieallemand,2025,LAS,Guard,G,20,29.0,30.0,5-8,68.0,147.0,,Belgium,34.0,5.4,3.7,5.0,2.1,0.0139999999999999,0.118,0.099,0.547,0.24
1642210,Julie Vanloo,julievanloo,2025,LAS,Guard,G,35,33.0,34.0,5-8,68.0,,,Belgium,35.0,2.8,0.9,1.9,-14.0,0.008,0.064,0.156,0.429,0.257
1627674,Kahleah Copper,kahleahcopper,2025,PHX,,,,31.0,32.0,6-1,73.0,165.0,Rutgers,USA,28.0,15.6,2.9,1.5,5.3,0.015,0.094,0.27,0.5479999999999999,0.102
1630097,Kaila Charles,kailacharles,2025,GSV,,,,28.0,29.0,6-1,73.0,168.0,Maryland,USA,35.0,6.4,4.3,1.0,3.8,0.075,0.162,0.175,0.532,0.099
1642822,Kaitlyn Chen,kaitlynchen,2025,GSV,Guard,G,2,24.0,25.0,5-9,69.0,,Connecticut,,24.0,2.0,0.9,1.0,-3.7,0.018,0.066,0.12,0.452,0.175
1629480,Kalani Brown,kalanibrown,2025,PHX,Center,C,21,29.0,30.0,6-7,79.0,245.0,Baylor,USA,29.0,5.1,4.0,0.6,-7.4,0.095,0.207,0.154,0.664,0.081
1630154,Kamiah Smalls,kamiahsmalls,2025,ATL,Guard,G,TBD,28.0,29.0,5-10,70.0,161.0,James Madison,USA,3.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0
1642289,Kamilla Cardoso,kamillacardoso,2025,CHI,Center,C,10,25.0,26.0,6-7,79.0,215.0,South Carolina,USA,40.0,13.6,8.5,2.5,-14.0,0.105,0.206,0.225,0.565,0.177
,Kariata Diaby,kariatadiaby,2025,CON,Center,C,TBD,30.0,31.0,6-4,76.0,,,Côte d'Ivoire,13.0,1.9,1.0,0.4,-16.5,0.032,0.115,0.133,0.62,0.081
