player_name,team_name,team_abbreviation,salary_efficiency_score,value_score,value_tier,salary,salary_tier_final,rank,team_grade
Marina Mabrey,Toronto Tempo,TOR,49.58,49.7,Risk,1200000.0,Max / Protected Veteran Top Tier,7,C
Nyara Sabally,Toronto Tempo,TOR,56.3,59.52,Fair Value,436957.0,Mid-Tier Rotation,7,C
Temi Fagbenle,Toronto Tempo,TOR,42.86,49.41,Risk,1000000.0,Premium Starter,7,C
Georgia Amoore,Washington Mystics,WAS,50.0,38.89,Risk,355058.0,Low Rotation / Rookie Scale,9,C
Kiki Iriafen,Washington Mystics,WAS,49.1,50.19,Fair Value,407163.0,Mid-Tier Rotation,9,C
Lauren Betts,Washington Mystics,WAS,46.46,43.24,Risk,407163.0,Mid-Tier Rotation,9,C
Lucy Olsen,Washington Mystics,WAS,52.01,49.58,Risk,277500.0,Minimum / Training Camp / Draftee Band,9,C
Michaela Onyenwere,Washington Mystics,WAS,50.0,42.32,Risk,700000.0,High/Mid Starter,9,C
Shakira Austin,Washington Mystics,WAS,40.5,54.69,Fair Value,1190000.0,Max / Protected Veteran Top Tier,9,C
Sonia Citron,Washington Mystics,WAS,24.6,48.42,Risk,436016.0,Mid-Tier Rotation,9,C
